0		0
0.0001		-7.71494e-13
0.0002		-4.35774e-12
0.0003		-1.33016e-11
0.0004		-3.01462e-11
0.0005		-5.74348e-11
0.0006		-9.77102e-11
0.0007		-1.53516e-10
0.0008		-2.27394e-10
0.0009		-3.21889e-10
0.001		-4.39543e-10
0.0011		-5.82899e-10
0.0012		-7.54501e-10
0.0013		-9.56891e-10
0.0014		-1.19261e-09
0.0015		-1.46421e-09
0.0016		-1.77422e-09
0.0017		-2.1252e-09
0.0018		-2.51968e-09
0.0019		-2.9602e-09
0.002		-3.44932e-09
0.0021		-3.98957e-09
0.0022		-4.5835e-09
0.0023		-5.23364e-09
0.0024		-5.94255e-09
0.0025		-6.71276e-09
0.0026		-7.54682e-09
0.0027		-8.44727e-09
0.0028		-9.20377e-09
0.0029		-1.00163e-08
0.003		-1.08868e-08
0.0031		-1.18173e-08
0.0032		-1.28098e-08
0.0033		-1.38663e-08
0.0034		-1.49888e-08
0.0035		-1.61793e-08
0.0036		-1.74398e-08
0.0037		-1.87723e-08
0.0038		-2.01788e-08
0.0039		-2.16613e-08
0.004		-2.32218e-08
0.0041		-2.48623e-08
0.0042		-2.65848e-08
0.0043		-2.83913e-08
0.0044		-3.02838e-08
0.0045		-3.22643e-08
0.0046		-3.43348e-08
0.0047		-3.64973e-08
0.0048		-3.87538e-08
0.0049		-4.11063e-08
0.005		-4.35568e-08
0.0051		-4.61073e-08
0.0052		-4.87598e-08
0.0053		-5.15163e-08
0.0054		-5.43788e-08
0.0055		-5.73493e-08
0.0056		-6.04298e-08
0.0057		-6.36223e-08
0.0058		-6.69288e-08
0.0059		-7.03513e-08
0.006		-7.38918e-08
0.0061		-7.75523e-08
0.0062		-8.13348e-08
0.0063		-8.52413e-08
0.0064		-8.92738e-08
0.0065		-9.34343e-08
0.0066		-9.77248e-08
0.0067		-1.02147e-07
0.0068		-1.06704e-07
0.0069		-1.11396e-07
0.007		-1.16227e-07
0.0071		-1.21197e-07
0.0072		-1.2631e-07
0.0073		-1.31566e-07
0.0074		-1.36969e-07
0.0075		-1.42519e-07
0.0076		-1.4822e-07
0.0077		-1.54072e-07
0.0078		-1.60079e-07
0.0079		-1.66241e-07
0.008		-1.72562e-07
0.0081		-1.79042e-07
0.0082		-1.85685e-07
0.0083		-1.92491e-07
0.0084		-1.99464e-07
0.0085		-2.06604e-07
0.0086		-2.13915e-07
0.0087		-2.21397e-07
0.0088		-2.29054e-07
0.0089		-2.36886e-07
0.009		-2.44897e-07
0.0091		-2.53087e-07
0.0092		-2.6146e-07
0.0093		-2.70016e-07
0.0094		-2.78759e-07
0.0095		-2.87689e-07
0.0096		-2.9681e-07
0.0097		-3.06122e-07
0.0098		-3.15629e-07
0.0099		-3.25331e-07
0.01		-3.35232e-07
0.0101		-3.45332e-07
0.0102		-3.55635e-07
0.0103		-3.66141e-07
0.0104		-3.76854e-07
0.0105		-3.87774e-07
0.0106		-3.98905e-07
